No,Youtuber,subscribers,video views,video count,category,started
254,WB Kids,"22,100,000","9,340,794,746","1,722",People & Blogs,2015
255,Venus Movies,"22,100,000","6,293,790,011","2,456",Entertainment,2010
256,OneDirectionVEVO,"22,000,000","11,550,410,746",266,Music,2010
257,Smile Family,"22,000,000","8,261,468,075",413,People & Blogs,2018
258,Lady Gaga,"21,900,000","13,835,267,771",172,People & Blogs,2008
259,mmoshaya,"21,900,000","16,356,422,375","1,139",People & Blogs,2010
260,White Hill Music,"21,700,000","9,719,487,276","5,094",Entertainment,2014
261,America's Got Talent,"21,700,000","4,016,933,296","2,751",Entertainment,2006
262,Paulo Londra,"21,700,000","7,061,442,001",52,Music,2016
263,TED,"21,700,000","2,370,380,465","4,005",People & Blogs,2006
264,Sia,"21,600,000","12,150,226,022",144,Music,2007
265,Diana and Roma ARA,"21,600,000","9,790,033,957",503,,2019
266,FaZe Rug,"21,500,000","6,009,951,177","1,997",Gaming,2012
267,Peppa Pig Español Latino - Canal Oficial,"21,500,000","6,961,098,158",949,Film & Animation,2014
268,Wave Music Bhojpuri,"21,500,000","12,148,385,591","21,294",Music,2014
269,Goldmines Movies,"21,400,000","4,575,205,400","4,025",Film & Animation,2013
270,nigahiga,"21,200,000","4,357,416,327",403,Entertainment,2006
271,Pen Movies,"21,200,000","5,588,648,749","1,569",Film & Animation,2014
272,Enaldinho,"21,100,000","7,382,859,153","2,908",Comedy,2012
273,BabyBus - Canciones Infantiles & Cuentos,"21,100,000","11,922,457,689",973,Education,2018
274,Tasty,"21,000,000","5,508,445,771","4,310",Howto & Style,2016
275,SSundee,"21,000,000","12,022,708,572","3,067",Gaming,2009
276,Juan De Dios Pantoja,"20,900,000","1,601,142,353",175,Entertainment,2014
277,Dua Lipa,"20,900,000","9,928,011,592",164,Music,2011
278,5-Minute Crafts DIY,"20,900,000","4,934,552,904","3,961",Howto & Style,2018
279,FGTeeV,"20,900,000","22,567,064,225","1,594",Gaming,2013
280,Like Nastya PRT,"20,800,000","10,441,789,042",529,Entertainment,2019
281,Preston,"20,800,000","6,955,897,177","3,861",Gaming,2012
282,Indosiar,"20,800,000","10,126,082,404","58,623",Music,2013
283,Baim Paula,"20,800,000","4,254,648,656","1,957",People & Blogs,2016
284,MrBeast en Español,"20,700,000","2,290,112,686",72,Entertainment,2021
285,Charlie Puth,"20,700,000","8,609,202,215",132,Music,2009
286,Canal Canalha,"20,700,000","1,834,293,432",291,Comedy,2011
287,Goldmines Cineplex,"20,600,000","1,796,017,693","2,474",Film & Animation,2015
288,Brent Rivera,"20,500,000","4,655,819,045",484,Comedy,2009
289,Family GamesTV,"20,400,000","7,061,690,830",277,Entertainment,2016
290,Tekashi 6ix9ine,"20,400,000","5,325,195,339",25,People & Blogs,2018
291,Disney Latinoamérica,"20,400,000","19,296,050,086","7,811",Entertainment,2007
292,National Geographic,"20,400,000","5,199,519,260","9,854",Science & Technology,2006
293,Kids TV - Nursery Rhymes And Baby Songs,"20,400,000","11,747,446,967","3,367",Shows,2013
294,Becky G,"20,400,000","9,552,800,638",73,Music,2011
295,Jake Paul,"20,400,000","7,219,140,294",934,People & Blogs,2013
296,Brave Wilderness,"20,300,000","4,606,459,332",718,Pets & Animals,2014
297,BuzzFeedVideo,"20,300,000","17,755,714,250","7,347",People & Blogs,2011
298,D Billions,"20,200,000","21,872,499,520",429,,2019
299,Avicii,"20,200,000","9,499,913,181",149,Music,2009
300,StarPlus,"20,100,000","12,116,551,500","12,702",Entertainment,2006
301,AuthenticGames,"20,100,000","8,852,635,760","4,638",Gaming,2011
302,REACT,"20,100,000","12,940,702,514","3,885",Entertainment,2007
303,LazarBeam,"20,100,000","8,389,982,773","1,258",Gaming,2015
304,HaerteTest,"20,000,000","3,027,361,293","1,160",Science & Technology,2011
305,Rotana,"20,000,000","16,480,938,259","8,109",Music,2012
306,Vevo,"20,000,000","546,905,035","1,519",Music,2006
307,SlivkiShow,"20,000,000","4,345,234,891",426,Entertainment,2012
308,Skrillex,"20,000,000","6,307,539,008",180,Music,2010
309,Ultra Movie Parlour,"20,000,000","4,930,920,530","1,302",Movies,2011
310,JennaMarbles,"19,900,000","1,761,774,908",250,Comedy,2010
311,Alan Becker,"19,900,000","4,321,286,202",116,Film & Animation,2006
312,5-Minute Crafts PLAY,"19,900,000","5,616,881,420","4,440",Howto & Style,2017
313,Lyrical Lemonade,"19,800,000","9,563,010,656",408,Entertainment,2013
314,Mnet K-POP,"19,800,000","15,394,134,862","29,028",Entertainment,2006
315,Pencilmation,"19,800,000","10,849,211,839","1,153",Film & Animation,2007
316,Totoy kids - Português,"19,700,000","3,826,474,945",174,Film & Animation,2014
317,Tlnovelas,"19,700,000","12,776,498,114","29,574",News & Politics,2013
318,Pentatonix,"19,700,000","5,694,327,707",235,Music,2011
319,Vlad and Niki Arabic,"19,600,000","9,147,535,900",417,,2018
320,LankyBox,"19,600,000","25,787,517,689","5,545",Comedy,2016
321,shane,"19,600,000","4,269,173,489",566,People & Blogs,2005
322,toyorbabytv,"19,600,000","13,978,892,435","1,057",Music,2012
323,Marvel Entertainment,"19,500,000","5,098,361,752","7,989",Entertainment,2005
324,Noor Stars,"19,500,000","2,545,886,796",627,Comedy,2014
325,Dr. Vivek Bindra: Motivational Speaker,"19,400,000","1,478,660,028",683,Education,2013
326,Got Talent Global,"19,400,000","7,383,775,138","2,454",Entertainment,2013
327,Romeo Santos,"19,400,000","14,819,598,563",28,Music,2005
328,GMA Public Affairs,"19,400,000","11,968,987,179","37,390",Entertainment,2009
329,Linkin Park,"19,300,000","11,783,975,855",592,Music,2006
330,Gordon Ramsay,"19,300,000","3,631,748,240","1,287",Entertainment,2006
331,Troom Troom Es,"19,200,000","7,139,476,227","2,591",People & Blogs,2016
332,Gusttavo Lima Oficial,"19,200,000","11,815,001,366",335,Music,2010
333,Infinite,"19,200,000","4,383,533,818","1,517",Entertainment,2014
334,Kinder Spielzeug Kanal,"19,200,000","9,413,508,600",699,Entertainment,2015
335,Deddy Corbuzier,"19,200,000","4,075,368,246","1,132",Entertainment,2009
336,Robin Hood Gamer,"19,100,000","9,328,209,625","3,750",Entertainment,2014
337,Minecraft - Topic,"19,100,000",,,,2013
338,★ Kids Roma Show,"19,100,000","6,410,853,410",589,People & Blogs,2015
339,Fatos Desconhecidos,"19,100,000","3,252,868,093","5,240",Entertainment,2013
340,JukiLop,"19,100,000","1,540,403,509",85,People & Blogs,2017
341,Kurzgesagt – In a Nutshell,"19,000,000","2,052,293,685",161,Education,2013
342,DLS News,"19,000,000","1,946,197,106","3,559",News & Politics,2017
343,Crafty Panda,"19,000,000","5,672,497,949",613,People & Blogs,2017
344,NBA,"18,900,000","10,791,851,871","42,086",Sports,2005
345,Jimmy Kimmel Live,"18,800,000","12,472,520,905","6,073",Entertainment,2006
346,Clash of Clans,"18,800,000","3,623,586,697",553,Gaming,2013
347,The ACE Family,"18,800,000","4,497,282,091",668,People & Blogs,2016
348,Sun TV,"18,700,000","13,622,998,578","34,648",People & Blogs,2016
349,Ninja Kidz TV,"18,700,000","9,145,485,770",267,Entertainment,2017
350,Beast Reacts,"18,700,000","2,528,480,817",215,People & Blogs,2016
351,Netflix India,"18,700,000","5,228,700,571","2,707",People & Blogs,2016
352,Lil Nas X,"18,600,000","5,659,051,618",37,Music,2018
353,TRT Originals Urdu,"18,600,000","7,370,103,100",740,Entertainment,2020
354,Britain's Got Talent,"18,600,000","10,512,530,241","3,735",Entertainment,2008
355,Green Gold TV - Official Channel,"18,500,000","8,985,315,647","1,090",Film & Animation,2011
356,TheWillyrex,"18,500,000","6,957,319,094","6,798",Comedy,2011
357,Calvin Harris,"18,500,000","14,886,853,329",76,Music,2007
358,Cardi B,"18,500,000","7,069,624,864",60,People & Blogs,2016
359,invictor,"18,500,000","7,050,721,828","2,106",Gaming,2013
360,shakiraVEVO,"18,400,000","22,257,341,033",189,Music,2009
361,Official Pink Panther,"18,300,000","9,942,133,522",629,Film & Animation,2013
362,CKN,"18,300,000","18,786,377,776",814,Entertainment,2015
363,Sonotek,"18,300,000","7,133,240,982","8,169",Entertainment,2011
364,HiMan,"18,200,000","2,367,699,484",326,People & Blogs,2014
365,Unbox Therapy,"18,200,000","4,332,532,776","2,053",Science & Technology,2010
366,CookieSwirlC,"18,200,000","20,938,593,710","3,571",Entertainment,2013
367,Turma da Mônica,"18,200,000","13,088,159,940","1,094",Film & Animation,2012
368,KBS WORLD TV,"18,200,000","13,926,619,677","58,485",Entertainment,2007
369,The Royalty Family,"18,200,000","4,490,004,408",633,People & Blogs,2017
370,MiawAug,"18,200,000","5,236,302,709","3,287",Gaming,2014
371,David Dobrik,"18,200,000","7,087,407,988",536,People & Blogs,2014
372,A_S Gaming,"18,200,000","2,476,464,261",932,Gaming,2016
373,GEN HALILINTAR,"18,100,000","3,178,960,318",969,Entertainment,2015
374,Dan-Sa / Daniel Saboya,"18,100,000","6,165,702,828","2,062",Music,2007
375,PDK Films,"18,100,000","3,910,330,714",108,Entertainment,2009
376,Vania Mania Kids,"18,100,000","6,908,411,472",825,People & Blogs,2015
377,BabyBus - Cerita & Lagu Anak-anak,"18,100,000","10,232,250,581",672,Education,2019
378,Vsauce,"18,000,000","2,415,927,927",391,Science & Technology,2007
